student_id,pais,edad,genero,plan,escuela_principal,dispositivo_principal,objetivo_estudiante,nivel_educativo,experiencia_tech_anios,meses_suscrito,tipo_pago,dias_para_renovacion,intentos_pago_fallidos,fecha_registro,dias_en_gratuito_antes_pago,cursos_inscritos,tasa_completado,cursos_completados,certificados_obtenidos,rutas_inscritas,rutas_completadas,examenes_ruta_aprobados,interes_Prog,interes_DataSci,interes_Web,interes_Ingles,interes_Marketing,interes_Diseno,interes_Gestion,interes_SoftSkills,interes_Cloud,interes_Otros,dias_desde_ultimo_login,dias_desde_ultima_clase,sesiones_ultimo_mes,horas_vistas_total,horas_vistas_ultimo_mes,promedio_clases_semana,horas_semana_1,horas_semana_2,horas_semana_3,horas_semana_4,variacion_sesiones_vs_mes_anterior,racha_dias_maxima,racha_dias_actual,liveclasses_asistidas,hora_pico_uso,preguntas_en_foro,respuestas_en_foro,upvotes_recibidos,tutoriales_publicados,platzi_rank,nivel_rewards,tickets_soporte,dias_resolucion_promedio,nps_score,churn
PLZ-00011,México,40,Femenino,Expert,Escuela de Data Science e Inteligencia Artificial,Desktop,Ascender en trabajo actual,Universitario en curso,2,3,Cuotas x4,107.0,1,2025-01-20,17,8,0.17,1,0,3,0,0,0.2,0.27,0.42,0.19,0.11,0.22,0.23,0.01,0.2,0.23,60,72,2,26,1,0.2,0.0,0.0,0.0,0.0,-5.9,0,0,0,18,0,9,32,0,132,Estandar,1,3.0,9.0,1
PLZ-00012,Guatemala,30,Femenino,Expert Duo,Escuela de Marketing Digital,Desktop,Conseguir empleo tech,Posgrado,7,28,Anual,326.0,0,2023-01-27,3,10,0.63,6,5,0,0,0,0.49,0.18,0.12,0.06,0.46,0.33,0.32,0.02,0.56,0.35,4,12,21,99,19,4.8,3.8,4.2,3.2,5.7,2.2,2,0,3,14,3,7,22,0,718,Estandar,2,4.8,8.0,0
PLZ-00013,Chile,23,Masculino,Expert,Escuela de Desarrollo Web,Mobile,Aprender por curiosidad,Universitario en curso,10,36,Anual,220.0,0,2022-02-15,18,9,0.35,3,2,0,0,0,0.22,0.12,0.13,0.36,0.29,0.42,0.18,0.09,0.22,0.02,11,14,12,46,22,5.5,5.6,3.4,5.0,6.2,3.1,1,0,6,20,2,3,11,0,765,Estandar,0,0.0,9.0,0
PLZ-00014,México,23,Femenino,Expert Family,Escuela de Marketing Digital,Mobile,Conseguir empleo tech,Secundaria,0,12,Anual,239.0,1,2022-06-04,59,27,0.47,12,11,4,1,0,0.2,0.25,0.07,0.07,0.05,0.36,0.2,0.04,0.37,0.46,15,19,20,181,7,1.8,1.0,1.7,1.2,1.0,-0.2,0,0,5,12,3,2,7,0,1110,Estandar,0,0.0,9.0,0
PLZ-00015,México,26,Masculino,Basic,Escuela de Marketing Digital,Mobile,Conseguir empleo tech,Universitario completo,7,9,Mensual,9.0,0,2024-12-29,45,3,0.4,1,0,3,1,1,0.1,0.48,0.06,0.28,0.18,0.1,0.06,0.33,0.36,0.23,22,34,4,18,18,4.5,4.5,3.0,6.4,4.8,3.9,21,0,1,20,4,5,19,0,1037,Estandar,0,0.0,9.0,1
PLZ-00016,México,25,Masculino,Basic,Escuela de Programacion y Software,Desktop,Ascender en trabajo actual,Universitario en curso,0,8,Mensual,14.0,0,2023-05-26,26,8,0.34,2,1,1,0,0,0.37,0.1,0.03,0.59,0.12,0.48,0.17,0.43,0.07,0.14,14,21,2,41,13,3.2,2.7,2.6,3.3,1.7,4.9,18,0,3,21,2,5,12,0,284,Estandar,0,0.0,9.0,1
PLZ-00017,México,33,Femenino,Expert,Escuela de Programacion y Software,Mobile,Emprender startup,Universitario en curso,7,2,Anual,39.0,0,2022-10-09,56,10,0.1,1,0,3,0,0,0.35,0.24,0.16,0.45,0.4,0.18,0.11,0.07,0.2,0.28,1,6,14,47,26,6.5,8.2,6.0,7.0,5.6,4.2,8,8,1,15,3,7,22,0,112,Estandar,1,2.9,9.0,0
PLZ-00018,Colombia,28,Masculino,Basic,Escuela de Desarrollo Web,Mobile,Conseguir empleo tech,Universitario completo,1,1,Mensual,16.0,0,2022-01-30,3,4,0.29,1,0,2,0,0,0.44,0.07,0.13,0.07,0.4,0.26,0.1,0.09,0.11,0.11,3,16,9,13,13,3.2,2.5,2.1,4.2,4.3,2.5,0,0,3,13,4,8,12,0,107,Estandar,1,2.0,9.0,1
PLZ-00019,Colombia,22,Masculino,Gratuito,Escuela de Programacion y Software,Desktop,Emprender startup,Universitario en curso,10,1,Sin_suscripcion,-1.0,0,2023-12-22,48,1,0.0,0,0,0,0,0,0.34,0.42,0.09,0.1,0.0,0.06,0.41,0.02,0.01,0.14,26,37,3,4,4,1.0,1.3,0.8,1.1,0.7,-2.6,34,0,0,22,3,1,3,0,59,Estandar,1,1.3,8.0,0
PLZ-00020,México,38,Masculino,Expert,Escuela de Ingles,Tablet,Conseguir empleo tech,Universitario en curso,3,9,Anual,30.0,0,2022-09-19,3,7,0.06,0,0,0,0,0,0.5,0.1,0.08,0.15,0.08,0.06,0.17,0.05,0.22,0.38,4,10,14,32,26,6.5,8.7,7.8,9.6,9.2,-3.0,0,0,5,16,3,5,9,0,361,Estandar,2,5.6,3.0,1
PLZ-00021,Argentina,27,Masculino,Expert,Escuela de Desarrollo Web,Mobile,Conseguir empleo tech,Secundaria,2,5,Anual,161.0,0,2022-03-24,19,7,0.47,3,2,1,0,0,0.69,0.55,0.35,0.22,0.33,0.28,0.22,0.3,0.65,0.14,0,13,8,45,8,2.0,1.3,2.9,1.6,1.7,0.9,13,5,3,9,2,4,15,0,233,Estandar,1,7.0,10.0,1
PLZ-00022,México,31,Femenino,Expert,Escuela de Ingles,Desktop,Freelance / proyectos propios,Universitario completo,1,4,Cuotas x4,104.0,0,2024-08-07,18,12,0.42,5,4,2,0,0,0.52,0.24,0.12,0.03,0.14,0.21,0.28,0.05,0.07,0.01,1,2,8,101,10,2.5,1.6,1.7,3.5,2.2,-1.7,2,2,0,12,3,7,23,0,273,Estandar,0,0.0,10.0,0
PLZ-00023,México,23,Masculino,Basic,Escuela de Data Science e Inteligencia Artificial,Desktop,Conseguir empleo tech,Tecnico,1,2,Mensual,18.0,0,2022-02-04,9,2,0.05,0,0,3,0,0,0.28,0.12,0.18,0.16,0.07,0.3,0.08,0.1,0.18,0.45,19,22,6,8,8,2.0,2.6,1.3,1.8,2.3,6.9,27,0,0,8,13,4,10,0,147,Estandar,0,0.0,4.0,1
PLZ-00024,México,29,No especifica,Expert,Escuela de Ingles,Desktop,Conseguir empleo tech,Tecnico,3,15,Anual,309.0,0,2022-01-05,53,4,0.61,2,1,2,1,1,0.68,0.07,0.21,0.11,0.17,0.24,0.11,0.11,0.34,0.36,59,68,0,32,1,0.2,0.0,0.0,0.0,0.0,-6.7,1,0,0,18,5,3,7,0,1192,Estandar,0,0.0,9.0,1
PLZ-00025,Colombia,28,No especifica,Basic,Escuela de Gestion y Liderazgo,Desktop,Conseguir empleo tech,Universitario completo,7,1,Mensual,25.0,0,2024-05-19,7,4,0.23,0,0,2,0,0,0.04,0.06,0.15,0.38,0.55,0.33,0.29,0.25,0.04,0.39,21,21,3,18,9,2.2,1.4,2.2,1.9,2.3,2.7,3,0,7,21,2,5,3,0,51,Estandar,2,2.1,7.0,1
PLZ-00026,Perú,16,Masculino,Gratuito,Escuela de Recursos Humanos,Mobile,Ascender en trabajo actual,Universitario en curso,5,2,Sin_suscripcion,-1.0,0,2024-10-26,27,1,0.2,0,0,5,1,0,0.05,0.13,0.16,0.24,0.09,0.1,0.48,0.02,0.06,0.28,6,19,5,1,1,0.2,0.2,0.2,0.2,0.3,-1.9,7,0,0,6,4,5,9,0,591,Estandar,0,0.0,8.0,0
PLZ-00027,México,39,Masculino,Expert,Escuela de Soft Skills,Tablet,Conseguir empleo tech,Tecnico,7,33,Cuotas x4,335.0,0,2025-01-21,19,8,0.52,4,3,0,0,0,0.08,0.24,0.29,0.05,0.35,0.33,0.09,0.1,0.32,0.43,13,24,7,59,11,2.8,3.7,2.1,4.0,2.5,1.3,24,0,0,4,0,4,9,0,1432,Pro,1,5.4,9.0,0
PLZ-00028,Colombia,34,Femenino,Gratuito,Escuela de Desarrollo Web,Desktop,Freelance / proyectos propios,Universitario completo,5,2,Sin_suscripcion,-1.0,0,2022-11-11,4,1,0.04,0,0,1,0,0,0.04,0.33,0.26,0.26,0.13,0.26,0.23,0.01,0.23,0.08,101,107,1,4,0,0.0,0.0,0.0,0.0,0.0,-3.2,25,0,0,7,3,4,10,0,68,Estandar,1,1.1,8.0,1
PLZ-00029,Argentina,24,Masculino,Gratuito,Escuela de Programacion y Software,Mobile,Freelance / proyectos propios,Tecnico,10,1,Sin_suscripcion,-1.0,0,2023-03-11,33,2,0.01,0,0,4,0,0,0.32,0.11,0.19,0.04,0.23,0.83,0.04,0.07,0.08,0.27,77,88,0,3,0,0.0,0.0,0.0,0.0,0.0,-6.5,30,0,0,15,5,7,8,0,72,Estandar,0,0.0,10.0,0
PLZ-00030,México,20,Masculino,Expert,Escuela de Marketing Digital,Mobile,Cambiar de carrera,Universitario en curso,5,1,Anual,131.0,0,2023-06-28,35,10,0.58,5,4,1,0,0,0.17,0.1,0.21,0.42,0.3,0.18,0.12,0.2,0.12,0.36,4,16,11,83,22,5.5,5.8,7.9,7.3,7.5,2.4,1,0,3,19,2,2,7,3,314,Estandar,1,6.2,6.0,1
PLZ-00031,Argentina,29,Masculino,Gratuito,Escuela de Cloud Computing,Desktop,Freelance / proyectos propios,Universitario completo,1,1,Sin_suscripcion,-1.0,0,2024-02-08,21,4,0.01,0,0,1,0,0,0.08,0.36,0.13,0.31,0.41,0.36,0.11,0.27,0.18,0.12,111,117,0,5,1,0.2,0.0,0.0,0.0,0.0,-11.6,18,0,0,20,3,4,12,0,46,Estandar,0,0.0,10.0,0
PLZ-00032,México,27,Femenino,Expert Family,Escuela de Data Science e Inteligencia Artificial,Mobile,Freelance / proyectos propios,Universitario completo,5,48,Anual,80.0,0,2023-03-09,51,13,0.24,3,2,1,0,0,0.48,0.21,0.24,0.05,0.21,0.05,0.19,0.41,0.22,0.2,7,15,17,64,20,5.0,7.2,7.2,3.6,2.8,-0.8,16,0,2,15,2,5,18,0,971,Estandar,0,0.0,9.0,0
PLZ-00033,México,29,Femenino,Expert,Escuela de Data Science e Inteligencia Artificial,Tablet,Freelance / proyectos propios,Universitario completo,1,22,Cuotas x4,272.0,0,2025-03-16,9,6,0.3,1,0,3,0,0,0.04,0.3,0.27,0.22,0.27,0.12,0.05,0.32,0.07,0.37,16,17,6,33,12,3.0,3.1,4.0,3.3,3.3,0.6,21,0,4,22,4,6,7,0,348,Estandar,1,6.1,10.0,1
PLZ-00034,Bolivia,28,Masculino,Expert Family,Escuela de Programacion y Software,Desktop,Emprender startup,Universitario completo,10,18,Anual,120.0,0,2022-04-22,3,15,0.22,3,2,3,0,0,0.59,0.08,0.09,0.51,0.12,0.14,0.24,0.26,0.29,0.11,3,16,19,86,16,4.0,2.8,2.2,3.1,3.8,-2.7,5,0,2,20,2,7,9,2,887,Estandar,0,0.0,10.0,1
PLZ-00035,Guatemala,30,Masculino,Gratuito,Escuela de Diseno Grafico,Desktop,Conseguir empleo tech,Universitario completo,1,1,Sin_suscripcion,-1.0,0,2025-02-05,29,4,0.43,1,0,1,0,0,0.13,0.1,0.44,0.08,0.27,0.07,0.29,0.3,0.11,0.26,14,15,3,22,19,4.8,3.4,4.0,3.1,5.4,5.9,2,0,0,19,2,4,6,0,82,Estandar,1,1.7,9.0,0
PLZ-00036,Chile,35,Femenino,Expert,Escuela de Desarrollo Web,Desktop,Conseguir empleo tech,Universitario completo,1,16,Anual,205.0,2,2023-03-11,24,11,0.54,5,4,0,0,0,0.24,0.21,0.54,0.09,0.3,0.41,0.02,0.39,0.17,0.08,37,37,2,78,0,0.0,0.0,0.0,0.0,0.0,-5.2,9,0,0,18,4,5,19,0,344,Estandar,0,0.0,10.0,0
PLZ-00037,México,30,Femenino,Basic,Escuela de Programacion y Software,Desktop,Freelance / proyectos propios,Tecnico,1,6,Mensual,1.0,0,2023-01-08,11,7,0.31,2,1,4,1,0,0.21,0.24,0.22,0.09,0.59,0.09,0.03,0.23,0.13,0.12,6,6,9,27,24,6.0,3.7,8.8,7.4,3.3,-2.0,27,0,4,19,9,2,5,0,764,Estandar,0,0.0,9.0,1
PLZ-00038,México,20,Femenino,Expert Duo,Escuela de Videojuegos,Desktop,Conseguir empleo tech,Tecnico,3,48,Anual,233.0,0,2022-09-28,3,22,0.66,14,10,1,0,0,0.05,0.17,0.46,0.08,0.29,0.1,0.32,0.32,0.18,0.24,19,23,16,241,16,4.0,4.1,4.0,3.4,4.4,0.6,0,0,2,9,6,2,6,0,2215,Pro,0,0.0,10.0,0
PLZ-00039,Argentina,35,Femenino,Basic,Escuela de Desarrollo Web,Desktop,Emprender startup,Universitario completo,0,3,Mensual,21.0,0,2024-07-08,0,2,0.3,0,0,4,1,1,0.18,0.34,0.28,0.01,0.21,0.32,0.39,0.66,0.44,0.07,3,4,5,6,6,1.5,1.2,1.6,0.9,1.0,4.7,36,0,5,15,1,5,13,0,790,Estandar,0,0.0,10.0,1
PLZ-00040,Colombia,36,Masculino,Basic,Escuela de Data Science e Inteligencia Artificial,Desktop,Ascender en trabajo actual,Universitario en curso,10,2,Mensual,14.0,1,2022-07-08,36,5,0.04,0,0,1,0,0,0.28,0.38,0.45,0.1,0.25,0.44,0.14,0.55,0.06,0.16,78,87,0,9,0,0.0,0.0,0.0,0.0,0.0,-7.2,6,0,0,19,1,3,4,0,38,Estandar,0,0.0,7.0,0
PLZ-00041,México,45,Femenino,Expert Duo,Escuela de Data Science e Inteligencia Artificial,Mobile,Conseguir empleo tech,Universitario completo,1,17,Anual,58.0,0,2023-12-13,65,14,0.54,7,6,5,2,2,0.13,0.06,0.2,0.42,0.68,0.77,0.35,0.61,0.37,0.28,2,9,18,99,13,3.2,4.0,2.1,3.5,2.1,-3.3,14,0,1,11,1,5,19,0,2047,Pro,1,5.4,10.0,0
PLZ-00042,Colombia,20,Masculino,Basic,Escuela de Data Science e Inteligencia Artificial,Desktop,Aprender por curiosidad,Universitario en curso,1,11,Mensual,8.0,0,2025-02-12,3,8,0.02,0,0,1,0,0,0.46,0.58,0.16,0.27,0.17,0.15,0.31,0.43,0.17,0.45,6,12,4,11,3,0.8,0.8,0.7,0.8,0.7,6.7,2,0,1,12,2,3,7,0,452,Estandar,0,0.0,8.0,1
PLZ-00043,México,28,Masculino,Gratuito,Escuela de Desarrollo Web,Desktop,Conseguir empleo tech,Universitario en curso,0,1,Sin_suscripcion,-1.0,0,2022-01-07,4,1,0.16,0,0,2,0,0,0.45,0.41,0.29,0.17,0.25,0.25,0.25,0.26,0.02,0.21,25,29,3,1,1,0.2,0.3,0.4,0.2,0.3,-1.0,12,0,0,21,4,2,2,0,54,Estandar,1,3.7,9.0,0
PLZ-00044,Ecuador,16,Femenino,Basic,Escuela de Data Science e Inteligencia Artificial,Mobile,Cambiar de carrera,Posgrado,1,1,Mensual,25.0,1,2025-01-04,0,3,0.05,0,0,3,0,0,0.28,0.06,0.29,0.14,0.08,0.21,0.13,0.39,0.48,0.18,28,40,5,6,6,1.5,1.6,2.0,1.3,0.8,2.6,22,0,3,14,0,5,13,0,37,Estandar,0,0.0,3.0,1
PLZ-00045,México,30,Masculino,Expert,Escuela de Desarrollo Web,Mobile,Cambiar de carrera,Universitario en curso,2,13,Anual,33.0,0,2024-05-07,64,12,0.19,2,1,1,0,0,0.1,0.2,0.47,0.14,0.27,0.4,0.23,0.01,0.26,0.74,20,30,15,60,10,2.5,1.8,3.5,2.9,3.0,4.4,20,0,3,4,2,8,20,0,316,Estandar,1,3.9,2.0,0
PLZ-00046,Argentina,23,No especifica,Gratuito,Escuela de Diseno Grafico,Desktop,Freelance / proyectos propios,Universitario completo,1,4,Sin_suscripcion,-1.0,0,2023-08-03,6,1,0.02,0,0,0,0,0,0.26,0.26,0.33,0.67,0.32,0.22,0.17,0.36,0.09,0.67,20,27,3,1,1,0.2,0.3,0.2,0.2,0.2,-2.7,23,0,0,21,4,7,5,0,139,Estandar,1,3.9,1.0,0
PLZ-00047,México,38,Masculino,Basic,Escuela de Marketing Digital,Desktop,Conseguir empleo tech,Tecnico,1,3,Mensual,15.0,1,2024-11-23,77,4,0.04,0,0,0,0,0,0.13,0.13,0.31,0.49,0.1,0.15,0.22,0.26,0.12,0.15,2,7,15,13,13,3.2,1.7,2.2,4.2,3.0,0.2,28,0,2,13,2,5,4,0,68,Estandar,0,0.0,10.0,0
PLZ-00048,Colombia,22,Femenino,Gratuito,Escuela de Data Science e Inteligencia Artificial,Mobile,Conseguir empleo tech,Tecnico,0,1,Sin_suscripcion,-1.0,0,2024-01-01,36,2,0.28,0,0,1,0,0,0.07,0.68,0.21,0.55,0.25,0.22,0.39,0.05,0.37,0.53,33,41,1,2,1,0.2,0.0,0.0,0.0,0.0,0.0,9,0,0,10,4,2,5,0,70,Estandar,0,0.0,9.0,1
PLZ-00049,Colombia,16,No especifica,Expert,Escuela de Desarrollo Web,Desktop,Ascender en trabajo actual,Secundaria,1,17,Anual,191.0,0,2023-03-27,59,11,0.36,3,2,0,0,0,0.06,0.17,0.35,0.21,0.35,0.28,0.1,0.15,0.25,0.25,5,14,7,54,12,3.0,2.2,2.8,2.5,3.6,-0.7,47,0,6,17,2,1,3,0,725,Estandar,0,0.0,3.0,1
PLZ-00050,México,24,Masculino,Expert,Escuela de Soft Skills,Desktop,Aprender por curiosidad,Universitario en curso,5,14,Anual,81.0,0,2022-05-20,90,8,0.58,4,3,3,1,1,0.21,0.08,0.03,0.29,0.14,0.08,0.19,0.27,0.16,0.16,14,21,10,61,10,2.5,3.3,3.7,1.4,1.8,-1.9,2,0,3,16,3,5,18,0,1142,Estandar,2,4.5,10.0,0
PLZ-00051,Guatemala,16,Femenino,Basic,Escuela de Programacion y Software,Desktop,Conseguir empleo tech,Posgrado,2,1,Mensual,7.0,0,2022-11-10,12,3,0.07,0,0,2,0,0,0.05,0.08,0.14,0.36,0.37,0.13,0.35,0.32,0.1,0.13,8,20,6,10,2,0.5,0.7,0.5,0.6,0.7,-0.3,11,0,5,9,2,3,9,0,52,Estandar,0,0.0,9.0,1
PLZ-00052,Perú,31,Masculino,Basic,Escuela de Programacion y Software,Desktop,Conseguir empleo tech,Posgrado,1,5,Mensual,29.0,0,2023-04-12,30,2,0.34,0,0,2,0,0,0.1,0.15,0.11,0.1,0.18,0.19,0.05,0.27,0.3,0.18,36,45,0,4,1,0.2,0.0,0.0,0.0,0.0,-8.3,6,0,0,21,2,9,24,0,138,Estandar,0,0.0,9.0,0
PLZ-00053,Bolivia,16,Femenino,Gratuito,Escuela de Desarrollo Web,Desktop,Conseguir empleo tech,Universitario completo,1,1,Sin_suscripcion,-1.0,0,2023-09-26,184,1,0.39,0,0,2,0,0,0.09,0.34,0.33,0.33,0.11,0.21,0.01,0.24,0.25,0.43,40,40,0,3,1,0.2,0.0,0.0,0.0,0.0,-12.1,4,0,0,4,7,9,5,1,134,Estandar,2,2.6,10.0,0
PLZ-00054,Ecuador,27,Masculino,Gratuito,Escuela de Ingles,Desktop,Ascender en trabajo actual,Universitario completo,3,5,Sin_suscripcion,-1.0,0,2024-04-03,12,1,0.13,0,0,2,0,0,0.27,0.13,0.36,0.48,0.17,0.08,0.32,0.5,0.16,0.19,17,26,1,3,3,0.8,0.5,0.4,0.4,0.4,1.4,13,0,0,11,5,5,15,0,203,Estandar,0,0.0,9.0,1
PLZ-00055,Argentina,16,Femenino,Gratuito,Escuela de Data Science e Inteligencia Artificial,Mobile,Emprender startup,Universitario completo,1,7,Sin_suscripcion,-1.0,0,2022-03-23,34,2,0.12,0,0,0,0,0,0.18,0.14,0.04,0.05,0.06,0.06,0.18,0.2,0.18,0.06,61,69,0,4,0,0.0,0.0,0.0,0.0,0.0,-4.1,12,0,0,15,2,6,9,0,257,Estandar,4,1.7,5.0,0
PLZ-00056,España,25,Masculino,Expert,Escuela de Diseno Grafico,Mobile,Conseguir empleo tech,Universitario en curso,3,7,Cuotas x4,242.0,0,2024-02-10,57,3,0.4,1,0,2,0,0,0.2,0.24,0.05,0.22,0.28,0.04,0.59,0.31,0.05,0.34,5,9,10,19,10,2.5,3.4,1.3,2.9,1.5,-1.6,42,0,5,13,3,3,10,0,278,Estandar,0,0.0,8.0,0
PLZ-00057,México,36,Masculino,Expert,Escuela de Ingles,Tablet,Conseguir empleo tech,Tecnico,10,45,Anual,284.0,0,2022-04-06,87,15,0.47,7,6,1,0,0,0.27,0.25,0.09,0.03,0.51,0.38,0.46,0.21,0.27,0.06,5,12,10,144,6,1.5,1.2,1.7,1.7,1.4,6.1,3,0,5,8,2,7,25,1,1685,Pro,1,1.9,9.0,0
PLZ-00058,México,29,Masculino,Expert Family,Escuela de E-commerce y Negocios Digitales,Desktop,Freelance / proyectos propios,Universitario completo,0,8,Anual,168.0,1,2022-11-15,68,15,0.49,7,5,0,0,0,0.03,0.15,0.27,0.53,0.12,0.09,0.17,0.08,0.07,0.38,29,38,21,115,19,4.8,3.4,6.3,4.2,3.0,1.8,11,0,2,6,2,3,3,0,372,Estandar,1,2.8,7.0,0
PLZ-00059,México,21,Masculino,Gratuito,Escuela de Programacion y Software,Desktop,Aprender por curiosidad,Tecnico,0,2,Sin_suscripcion,-1.0,0,2023-01-24,58,3,0.12,0,0,2,0,0,0.39,0.26,0.07,0.19,0.18,0.16,0.24,0.06,0.11,0.09,12,20,2,3,3,0.8,1.0,1.0,1.0,0.8,-2.0,48,0,0,7,4,3,1,0,86,Estandar,1,5.0,1.0,1
PLZ-00060,México,26,Femenino,Expert,Escuela de Diseno Grafico,Mobile,Aprender por curiosidad,Universitario en curso,0,1,Anual,141.0,0,2025-01-14,31,12,0.41,4,3,1,0,0,0.17,0.28,0.05,0.19,0.25,0.33,0.07,0.03,0.35,0.23,12,25,6,51,4,1.0,1.4,0.6,0.7,0.8,1.3,4,0,4,22,7,2,1,0,193,Estandar,1,2.7,10.0,0
PLZ-00061,Colombia,27,Femenino,Expert,Escuela de Programacion y Software,Mobile,Aprender por curiosidad,Universitario completo,2,2,Cuotas x4,172.0,0,2023-01-06,7,6,0.33,1,0,1,0,0,0.22,0.63,0.24,0.25,0.06,0.06,0.09,0.09,0.35,0.18,29,29,8,25,21,5.2,5.1,4.9,3.5,5.7,2.6,9,0,2,9,2,2,2,0,97,Estandar,1,6.6,3.0,1
